Geografía;Tipología penal;Periodos:;Total
Provincia de GIRONA;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;1,9
-Municipio de Girona;8. Hurtos;enero-diciembre 2022;2.220
-Municipio de Girona;8. Hurtos;enero-diciembre 2023;2.346
-Municipio de Girona;8. Hurtos;Variación % 2023/2022;5,7
-Municipio de Girona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;6.829
-Municipio de Girona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;7.225
-Municipio de Girona;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;5,8
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;262.971
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;284.350
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;8,1
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;94.340
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;105.368
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;11,7
-Municipio de Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;21.204
-Municipio de Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;24.685
-Municipio de Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;16,4
