Geografía;Tipología penal;Periodos:;Total
- Municipio de Badalona;10.-Tráfico de drogas;Variación % 2017/2016;17,1
- Municipio de Badalona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2016;10.690
- Municipio de Badalona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;11.442
- Municipio de Badalona;TOTAL INFRACCIONES PENALES;Variación % 2017/2016;7,0
Provincia de GIRONA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2016;2
Provincia de GIRONA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;5
Provincia de GIRONA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;150,0
- Municipio de Girona;8.-Hurtos;Enero-diciembre 2016;1.842
- Municipio de Girona;8.-Hurtos;Enero-diciembre 2017;1.954
- Municipio de Girona;8.-Hurtos;Variación % 2017/2016;6,1
- Municipio de Girona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2016;4.936
- Municipio de Girona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;5.590
- Municipio de Girona;TOTAL INFRACCIONES PENALES;Variación % 2017/2016;13,2
Provincia de ALICANTE/ALACANT;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2016;16
Provincia de ALICANTE/ALACANT;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;10
Provincia de ALICANTE/ALACANT;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;-37,5
- Municipio de Alicante/Alacant;TOTAL INFRACCIONES PENALES;Enero-diciembre 2016;17.738
- Municipio de Alicante/Alacant;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;18.343
- Municipio de Alicante/Alacant;TOTAL INFRACCIONES PENALES;Variación % 2017/2016;3,4
