Geografía;Tipología penal;Periodos:;Total
08015 Badalona;8. Hurtos;enero-diciembre 2025;4.095
08015 Badalona;8. Hurtos;Variación % 2025/2024;9,1
08015 Badalona;9. Sustracciones de vehículos;enero-diciembre 2024;237
08015 Badalona;9. Sustracciones de vehículos;enero-diciembre 2025;227
08015 Badalona;9. Sustracciones de vehículos;Variación % 2025/2024;-4,2
08015 Badalona;10. Tráfico de drogas;enero-diciembre 2024;92
08015 Badalona;10. Tráfico de drogas;enero-diciembre 2025;99
08015 Badalona;10. Tráfico de drogas;Variación % 2025/2024;7,6
08015 Badalona;11. Resto de criminalidad convencional;enero-diciembre 2024;6.391
08015 Badalona;11. Resto de criminalidad convencional;enero-diciembre 2025;6.472
08015 Badalona;11. Resto de criminalidad convencional;Variación % 2025/2024;1,3
08015 Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;2.240
08015 Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2025;1.922
08015 Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;-14,2
08015 Badalona;12.-Estafas informáticas;enero-diciembre 2024;2.142
08015 Badalona;12.-Estafas informáticas;enero-diciembre 2025;1.770
08015 Badalona;12.-Estafas informáticas;Variación % 2025/2024;-17,4
08015 Badalona;13.-Otros ciberdelitos;enero-diciembre 2024;98
08015 Badalona;13.-Otros ciberdelitos;enero-diciembre 2025;152
08015 Badalona;13.-Otros ciberdelitos;Variación % 2025/2024;55,1
08015 Badalona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;15.079
08015 Badalona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;14.901
08015 Badalona;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-1,2
08019 Barcelona;8. Hurtos;enero-diciembre 2024;79.800
08019 Barcelona;8. Hurtos;enero-diciembre 2025;76.713
08019 Barcelona;8. Hurtos;Variación % 2025/2024;-3,9
08019 Barcelona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;175.951
08019 Barcelona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;169.678
08019 Barcelona;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-3,6
Provincia de GIRONA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;50.282
Provincia de GIRONA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;50.145
Provincia de GIRONA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-0,3
17079 Girona;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;6.393
17079 Girona;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2025;6.119
17079 Girona;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-4,3
17079 Girona;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;2
17079 Girona;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2025;0
17079 Girona;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-100,0
17079 Girona;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;3
17079 Girona;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2025;5
17079 Girona;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;66,7
17079 Girona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;56
17079 Girona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2025;71
17079 Girona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;26,8
17079 Girona;4. Secuestro;enero-diciembre 2024;1
17079 Girona;4. Secuestro;enero-diciembre 2025;1
17079 Girona;4. Secuestro;Variación % 2025/2024;0,0
17079 Girona;5. Delitos contra la libertad sexual;enero-diciembre 2024;88
17079 Girona;5. Delitos contra la libertad sexual;enero-diciembre 2025;95
17079 Girona;5. Delitos contra la libertad sexual;Variación % 2025/2024;8,0
17079 Girona;5.1.-Agresión sexual con penetración;enero-diciembre 2024;33
17079 Girona;5.1.-Agresión sexual con penetración;enero-diciembre 2025;34
17079 Girona;5.1.-Agresión sexual con penetración;Variación % 2025/2024;3,0
17079 Girona;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;55
17079 Girona;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2025;61
17079 Girona;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;10,9
17079 Girona;6. Robos con violencia e intimidación;enero-diciembre 2024;368
17079 Girona;6. Robos con violencia e intimidación;enero-diciembre 2025;274
17079 Girona;6. Robos con violencia e intimidación;Variación % 2025/2024;-25,5
17079 Girona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;323
17079 Girona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2025;287
17079 Girona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-11,1
17079 Girona;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;238
17079 Girona;7.1.-Robos con fuerza en domicilios;enero-diciembre 2025;205
17079 Girona;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-13,9
17079 Girona;8. Hurtos;enero-diciembre 2024;2.461
17079 Girona;8. Hurtos;enero-diciembre 2025;2.398
17079 Girona;8. Hurtos;Variación % 2025/2024;-2,6
17079 Girona;9. Sustracciones de vehículos;enero-diciembre 2024;175
17079 Girona;9. Sustracciones de vehículos;enero-diciembre 2025;189
17079 Girona;9. Sustracciones de vehículos;Variación % 2025/2024;8,0
17079 Girona;10. Tráfico de drogas;enero-diciembre 2024;39
17079 Girona;10. Tráfico de drogas;enero-diciembre 2025;37
17079 Girona;10. Tráfico de drogas;Variación % 2025/2024;-5,1
17079 Girona;11. Resto de criminalidad convencional;enero-diciembre 2024;2.877
17079 Girona;11. Resto de criminalidad convencional;enero-diciembre 2025;2.762
17079 Girona;11. Resto de criminalidad convencional;Variación % 2025/2024;-4,0
17079 Girona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;1.120
17079 Girona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2025;1.014
17079 Girona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;-9,5
17079 Girona;12.-Estafas informáticas;enero-diciembre 2024;1.028
17079 Girona;12.-Estafas informáticas;enero-diciembre 2025;942
17079 Girona;12.-Estafas informáticas;Variación % 2025/2024;-8,4
17079 Girona;13.-Otros ciberdelitos;enero-diciembre 2024;92
17079 Girona;13.-Otros ciberdelitos;enero-diciembre 2025;72
17079 Girona;13.-Otros ciberdelitos;Variación % 2025/2024;-21,7
17079 Girona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;7.513
17079 Girona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;7.133
17079 Girona;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-5,1
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;283.414
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;292.745
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;3,3
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;104.635
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;111.263
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;6,3
03014 Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;24.546
03014 Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;27.169
03014 Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;10,7
